Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The encoding of spoken texts","Computers and the Humanities","","29","2","10.1007/BF01830708","Stig Johansson","1995","http://link.springer.com/article/10.1007/BF01830708","Article"
"A study of sex-role stereotyping in the Oxford English Dictionary 2E","Computers and the Humanities","","26","1","10.1007/BF00114884","Hannah S. FournierDelbert W. Russell","1992","http://link.springer.com/article/10.1007/BF00114884","Article"
"A computer-assisted study of the vocabulary of young Navajo children","Computers and the Humanities","","7","4","10.1007/BF02403932","Bernard SpolskyWayne HolmBabette HollidayJonathan Embry","1973","http://link.springer.com/article/10.1007/BF02403932","Article"
"Current computing activity in Scandinavia related to language and literature research","Computers and the Humanities","","3","1","10.1007/BF02395451","Arne Zettersten","1968","http://link.springer.com/article/10.1007/BF02395451","Article"
"Memory-Based Word Sense Disambiguation","Computers and the Humanities","","34","1 - 2","10.1023/A:1002459020102","Jorn VeenstraAntal van den BoschSabine BuchholzWalter Daelemansakub Zavrel","2000","http://link.springer.com/article/10.1023/A%3A1002459020102","Article"
"Token-based spelling variant detection in Middle Low German texts","Language Resources and Evaluation","","","","10.1007/s10579-018-09441-5","Fabian BarteldChris BiemannHeike Zinsmeister","2019","http://link.springer.com/article/10.1007/s10579-018-09441-5","Article"
"Computational lexicography","Computers and the Humanities","","19","2","10.1007/BF02259630","Sally Yeates Sedelow","1985","http://link.springer.com/article/10.1007/BF02259630","Article"
"Reviews","Computers and the Humanities","","11","5","10.1007/BF02399180","Sylvia W. GainesHarriette AndreadisDonald WintersDavid HarrahP. E. WeilD. FerrarisHarry B. LincolnRichard VarnesNathan A. GreenbergJ. B. MillarBarron BrainerdDonald Ross Jr.","1977","http://link.springer.com/article/10.1007/BF02399180","Article"
"Vox Latina: Belgian initiatives in data processing the intellectual language of Europe, A.D. 197–1965","Computers and the Humanities","","12","1 - 2","10.1007/BF02392911","Paul Tombeur","1978","http://link.springer.com/article/10.1007/BF02392911","Article"
"Directory of scholars active","Computers and the Humanities","","13","2","10.1007/BF02404512","","1979","http://link.springer.com/article/10.1007/BF02404512","Article"
"Typologie d'amphores romaines par une methode logique de classification","Computers and the Humanities","","17","4","10.1007/BF02252805","A. GuenocheA. Hesnard","1983","http://link.springer.com/article/10.1007/BF02252805","Article"
"Modeling Task-Oriented Dialogue","Computers and the Humanities","","37","4","10.1023/A:1025729107628","Maite Taboada","2003","http://link.springer.com/article/10.1023/A%3A1025729107628","Article"
"A study of words relating to youth and old age in the plays of euripides and its special implications for Euripides' Suppliant Women","Computers and the Humanities","","22","4","10.1007/BF00118605","Eva M. Thury","1988","http://link.springer.com/article/10.1007/BF00118605","Article"
"A touchstone for the bard","Computers and the Humanities","","25","4","10.1007/BF00116075","W. E. Y. ElliottR. J. Valenza","1991","http://link.springer.com/article/10.1007/BF00116075","Article"
"GATE, a General Architecture for Text Engineering","Computers and the Humanities","","36","2","10.1023/A:1014348124664","Hamish Cunningham","2002","http://link.springer.com/article/10.1023/A%3A1014348124664","Article"
"Introduction to special issue on data resources, evaluation, and dialogue interaction","Language Resources and Evaluation","","40","1","10.1007/s10579-006-9005-5","Laila DybkjærWolfgang Minker","2006","http://link.springer.com/article/10.1007/s10579-006-9005-5","Article"
"Mining atomic Chinese abbreviations with a probabilistic single character recovery model","Language Resources and Evaluation","","40","3 - 4","10.1007/s10579-007-9026-8","Jing-Shin ChangWei-Lun Teng","2006","http://link.springer.com/article/10.1007/s10579-007-9026-8","Article"
"Introduction to Special Issue on Advances in Question Answering","Language Resources and Evaluation","","39","2 - 3","10.1007/s10579-005-7883-6","James PustejovskyJanyce Wiebe","2005","http://link.springer.com/article/10.1007/s10579-005-7883-6","Article"
"Introduction to the special issue on African Language Technology","Language Resources and Evaluation","","45","3","10.1007/s10579-011-9157-9","Guy De PauwGilles-Maurice de SchryverLaurette PretoriusLori Levin","2011","http://link.springer.com/article/10.1007/s10579-011-9157-9","Article"
"Evaluating Word Sense Induction and Disambiguation Methods","Language Resources and Evaluation","","47","3","10.1007/s10579-012-9205-0","Ioannis P. KlapaftisSuresh Manandhar","2013","http://link.springer.com/article/10.1007/s10579-012-9205-0","Article"
"Annotating abstract anaphora","Language Resources and Evaluation","","46","1","10.1007/s10579-011-9160-1","Stefanie DipperHeike Zinsmeister","2012","http://link.springer.com/article/10.1007/s10579-011-9160-1","Article"
"MedSTS: a resource for clinical semantic textual similarity","Language Resources and Evaluation","","","","10.1007/s10579-018-9431-1","Yanshan WangNaveed AfzalSunyang FuLiwei WangFeichen ShenMajid Rastegar-MojaradHongfang Liu","2018","http://link.springer.com/article/10.1007/s10579-018-9431-1","Article"
"Robust semantic text similarity using LSA, machine learning, and linguistic resources","Language Resources and Evaluation","","50","1","10.1007/s10579-015-9319-2","Abhay KashyapLushan HanRoberto YusJennifer SleemanTaneeya SatyapanichSunil GandhiTim Finin","2016","http://link.springer.com/article/10.1007/s10579-015-9319-2","Article"
